Multi-year report for site OttF14WEST

Year ,Crop1      ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,Crop2      ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,Crop3      ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,Crop4      ,GrainC4    ,LeafC4     ,StemC4     ,RootC4     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,PotTrans/WreqTrans,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub,WaterStress-Crop1,WaterStress-Crop2,WaterStress-Crop3,WaterStress-Crop4,NStress-Crop1,NStress-Crop2,NStress-Crop3,NStress-Crop4,TempStress-Crop1,TempStress-Crop2,TempStress-Crop3,TempStress-Crop4,CropHarvestDay,CropGrowDay,EOYPlantPopSurv_Crp1,EOYPlantPopSurv_Crp2,EOYPlantPopSurv_Crp3,EOYPlantPopSurv_Crp4,CutNumber  ,CrownBelowMax(WINTER),CrownBelowMax(SPRING),GermDays   ,StuntGrowth,GDD        ,MatDay1    ,MatDay2    ,MatDay3    ,FlowDay1   ,FlowDay2   ,FlowDay3   ,EmerDay1   ,EmerDay2   ,EmerDay3   ,PlantDay1  ,TDD        ,PGI        ,photoPrdStr,LastFrost  ,HeatDDays_Crop1,HeatDDays_Crop2,HeatDDays_Crop3,HeatDDays_Crop4
#    ,ID         ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,ID         ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,ID         ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,ID         ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha     ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,degree C   ,m/s        ,index      ,index      ,index      ,kgC/ha/y   ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,index      ,index      ,index      ,index      ,index      ,index      ,index      ,index      ,index      ,index      ,index      ,index      ,days       ,days       ,%          ,%          ,oC         ,oC         ,#          ,days       ,days       ,index      ,index      ,DOY        ,DOY        ,DOY        ,DOY        ,DOY        ,DOY        ,DOY        ,DOY        ,DOY        ,DOY        ,DOY        ,Base_0C    ,index      ,index      ,DOY        ,oC         ,oC         ,oC         ,oC         

    1,         10,        0.0000000,    2370.4831543,    2370.4831543,    1080.8525391,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0317,         0.0229,         0.0192,         0.0160,         0.0155,   42851.1210938,   30960.6503906,   25880.5703125,   21823.2675781,   21200.7929688,  194737.9375000,  197111.1406250,    2373.2031250,    2212.8779297,     309.7154846,     900.0000000,       0.0000000,     719.0597534,     117.1326294,       0.0000000,      -1.1456085,   19298.5312500,       3.4146945,   19312.8769531,      32.3213882,      43.2530289,      25.2075024,       0.0000000,      69.2307968,      34.9862061,       5.4049397,      83.1343384,       1.8040699,       0.6853696,       0.0000000,       0.2840439,       0.1510516,       0.0746145,       0.0000000,       2.0206966,     975.2114415,     201.8860132,     104.1090488,     377.0703971,     104.7517881,       4.2749997,    1008.2999468,       0.0000000,       7.0487704,       3.0810962,       0.3549166,       1.0000000,       1.0000000,    2418.0014648,       0.0000000,      55.0435829,      55.0435829,    1026.8096924,       0.0000000,       0.9999547,       0.0000000,       0.0000000,       0.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.7129063,       0.0000000,       0.0000000,       0.0000000,  366,    0,     100.0000000,       0.0000000,       0.0000000,       0.0000000,          2,          0,          0,          3,       1.0000000,    1897.9998779,        366,          0,          0,          0,          0,          0,        145,          0,          0,        135,    1800.0000000,       0.0000000,       0.0000000,        109,     833.8000488,       0.0000000,       0.0000000,       0.0000000
   28,          1,     3270.2287598,    1465.9517822,    1465.9517822,    1099.4636230,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0284,         0.0284,         0.0209,         0.0160,         0.0151,   38360.0898438,   38364.1640625,   28280.1562500,   21822.4492188,   20670.1132812,  199149.2187500,  200130.7031250,     981.4843750,    1465.9516602,    1938.7137451,       0.0000000,       0.0000000,    1548.8355713,     186.9747009,       0.0000000,      -1.0608031,   19052.0410156,      41.4354095,   19014.6210938,     105.4550247,      26.5995560,      32.1524925,     170.0000000,       0.0000000,      49.8617058,       0.0000000,     172.0207825,      50.3819046,       1.5887761,       0.0000000,       0.7288036,       0.6392519,       0.0445943,       6.6807857,       2.0206966,     840.6727314,     196.5880096,     140.8832222,     702.9657960,     254.2150319,       0.0000000,    1286.0997915,       0.0000000,       6.7653446,       2.7188763,       0.0000000,       1.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.9999565,       0.0000000,       0.0000000,       0.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.8265906,       0.0000000,       0.0000000,       0.0000000,  321,  174,     100.0000000,       0.0000000,       0.0000000,       0.0000000,          0,          0,          0,          3,       1.0000000,    1870.5605469,        277,          0,          0,        205,        218,          0,        151,          0,          0,        148,    2550.0000000,       1.0000000,       0.0000000,        105,       0.0000000,       0.0000000,       0.0000000,       0.0000000
   31,          3,      767.8066406,     365.5116577,     365.5116577,     287.6511841,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0277,         0.0277,         0.0210,         0.0160,         0.0151,   37438.6093750,   37414.3085938,   28358.9453125,   21855.0644531,   20638.8593750,  201659.9687500,  198179.7656250,   -3480.2031250,     731.0231934,     513.3063965,       0.0000000,       0.0000000,    2685.9951172,     275.9463806,       0.0000000,      -1.2578257,   18995.5175781,     145.3464050,   18894.8730469,      92.0270386,    -153.9631958,      21.5599937,       0.0000000,       0.0000000,      25.6716194,      36.4857635,     109.5771103,      90.0543976,       0.3814058,       0.0000000,       0.5758338,       0.5400907,       0.0625115,       0.0000000,       1.9009930,    1056.4845800,     174.2239892,     102.9181108,     479.5355499,     106.1872616,       0.0000000,     862.4000549,       0.0000000,       7.6679153,       2.9100539,       0.0000000,       1.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.9998998,       0.0000000,       0.0000000,       0.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.4448774,       0.0000000,       0.0000000,       0.0000000,  293,  138,     100.0000000,       0.0000000,       0.0000000,       0.0000000,          0,          0,          0,          2,       1.0000000,    1747.6203613,        266,          0,          0,          0,          0,          0,        158,          0,          0,        156,    2300.0000000,       1.0000000,       1.0000000,        105,       0.0000000,       0.0000000,       0.0000000,       0.0000000
    2,         10,        0.0000000,    3231.1408691,    3231.1408691,       2.2763462,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0334,         0.0229,         0.0191,         0.0159,         0.0154,   45044.7968750,   30897.1250000,   25827.5761719,   21786.7011719,   21149.4921875,  197111.2343750,  199009.0937500,    1897.8593750,    2484.6296387,     636.2778931,     900.0000000,       0.0000000,    1600.2496338,     105.0041580,       0.0000000,      -1.1152105,   19312.8808594,      32.3213921,   19339.7519531,      56.1728058,      50.7216339,      19.2924957,       0.0000000,      69.2307968,      47.7704430,       5.1618705,      79.4024048,       1.7440012,       3.9363337,       0.0000000,       0.2352636,       0.1800137,       0.0200730,       0.0000000,       2.0206966,    1089.9969339,     295.2654660,      81.7168653,     298.3030379,     152.7460515,       4.2749997,     771.6997862,       0.0000000,       7.0873971,       2.7251236,       0.3284445,       1.0000000,       1.0000000,    4075.1850586,       0.0000000,       6.2795930,       6.2795930,     978.5725708,       0.0000000,       0.9999783,       0.0000000,       0.0000000,       0.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.3374855,       0.0000000,       0.0000000,       0.0000000,  366,    0,     100.0000000,       0.0000000,       0.0000000,       0.0000000,          2,          0,          0,          3,       1.0000000,    1953.8504639,        366,          0,          0,          0,          0,          0,          0,          0,          0,        135,    1800.0000000,       0.0000000,       0.0000000,        105,    1101.4000244,       0.0000000,       0.0000000,       0.0000000
   29,          1,     3216.4155273,    1443.2459717,    1443.2459717,    1082.4340820,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0286,         0.0284,         0.0210,         0.0160,         0.0151,   38672.5312500,   38357.1250000,   28310.9062500,   21862.5058594,   20681.5546875,  200130.6875000,  200491.2187500,     360.5312500,    1443.2460938,    1885.5733643,       0.0000000,       0.0000000,    1902.8178711,     159.5589600,       0.0000000,      -1.1593679,   19014.6210938,     105.4550323,   18999.2851562,     148.5171967,      27.7261810,      23.3849983,     170.0000000,       0.0000000,      42.8031731,       0.0000000,     142.0380554,      63.2658119,       1.1661863,       0.0000000,       0.6173758,       0.6314022,       0.0512892,       0.6964093,       2.0206966,     913.1796956,     220.1522887,     107.5394228,     411.1987352,     146.2269574,       0.0000000,     935.3997707,       0.0000000,       6.7075863,       2.8138642,       0.0000000,       1.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.9983563,       0.0000000,       0.0000000,       0.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.8948917,       0.0000000,       0.0000000,       0.0000000,  311,  178,     100.0000000,       0.0000000,       0.0000000,       0.0000000,          0,          0,          0,          3,       1.0000000,    1945.0800781,        250,          0,          0,        191,        203,          0,        137,          0,          0,        134,    2550.0000000,       1.0000000,       0.0000000,        105,       0.0000000,       0.0000000,       0.0000000,       0.0000000
   32,          1,     4686.3339844,    2102.7182617,    2102.7182617,    1577.0385742,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0290,         0.0290,         0.0212,         0.0161,         0.0151,   39214.1992188,   39217.1914062,   28650.2656250,   21976.3203125,   20691.2812500,  198179.7500000,  202234.0468750,    4054.2968750,    4205.4365234,    2751.8239746,       0.0000000,       0.0000000,    1744.8542480,     156.8443146,       0.0000000,      -1.2821099,   18894.8750000,      92.0270157,   18920.3476562,      57.9573898,      -8.5972977,      20.4325008,     154.0000000,       0.0000000,     100.4213257,       0.0000000,     241.1043396,      40.8626480,       0.3576765,       0.0000000,       0.4259480,       0.6399437,       0.0666523,       0.0000000,       2.0206966,    1053.5202026,     263.1598413,     117.8258657,     361.4774048,      95.7499519,       0.0000000,     817.3000216,       0.0000000,       8.1147137,       2.5713157,       0.0000000,       1.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.9896525,       0.0000000,       0.0000000,       0.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.8863449,       0.0000000,       0.0000000,       0.0000000,  314,  175,     100.0000000,       0.0000000,       0.0000000,       0.0000000,          0,          0,          0,          2,       1.0000000,    1891.2998047,        254,          0,          0,        192,        204,          0,        142,          0,          0,        140,    2550.0000000,       1.0000000,       0.0000000,        105,       0.0000000,       0.0000000,       0.0000000,       0.0000000
    3,         10,        0.0000000,    3250.3740234,    3250.3740234,      55.9536171,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0345,         0.0229,         0.0191,         0.0159,         0.0154,   46622.6289062,   30874.5449219,   25800.0332031,   21766.8027344,   21116.7246094,  199009.0937500,  200414.6250000,    1405.5312500,    2441.1042480,     602.4539185,     900.0000000,       0.0000000,    1904.1881104,     118.4664917,       0.0000000,      -0.7921420,   19339.7539062,      56.1727829,   19389.1406250,      58.2446976,      51.4595413,      24.4500008,       0.0000000,      69.2307968,      46.2539978,       5.1429863,      79.1072006,       0.8780078,       7.9466867,       0.0000000,       0.3489841,       0.1245926,       0.0308437,       0.0000000,       2.0206966,     927.9116988,     266.9150531,      86.4436403,     411.4100635,     224.6012390,       4.2749997,     977.9998064,       0.0000000,       5.0468497,       2.6401656,       0.3444444,       1.0000000,       1.0000000,    4027.5891113,       0.0000000,      22.3069878,      22.3069878,     984.1478882,       0.0000000,       0.9999858,       0.0000000,       0.0000000,       0.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.2078491,       0.0000000,       0.0000000,       0.0000000,  366,    0,     100.0000000,       0.0000000,       0.0000000,       0.0000000,          2,          0,          0,          3,       1.0000000,    1679.1003418,        366,          0,          0,          0,          0,          0,          0,          0,          0,        135,    1800.0000000,       0.0000000,       0.0000000,        105,     224.4500122,       0.0000000,       0.0000000,       0.0000000
   30,          6,     1812.6437988,     715.9718628,     715.9718628,    1084.8060303,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0288,         0.0288,         0.0211,         0.0161,         0.0151,   38939.6054688,   38939.4023438,   28541.1992188,   21926.5273438,   20701.9746094,  200491.2343750,  201659.9687500,    1168.7343750,    3244.5869141,    1883.3907471,       0.0000000,       0.0000000,    2409.2189941,     156.0726166,       0.0000000,      -1.0639936,   18999.2871094,     148.5171814,   18995.5195312,     145.3464050,      -6.9387512,      22.9275017,      76.0000000,       0.0000000,      95.4123154,       0.0000000,     146.6315765,      52.1306038,       1.4798164,       0.0000000,       0.4631776,       0.5366823,       0.0364449,       0.0000000,       2.0206966,     993.1904078,     249.6556193,     107.0768312,     394.8747516,     214.5624012,       0.0000000,     917.1000123,       0.0000000,       5.9599729,       2.9445229,       0.0000000,       1.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.9998670,       0.0000000,       0.0000000,       0.0000000,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.9118842,       0.0000000,       0.0000000,       0.0000000,  252,  115,     100.0000000,       0.0000000,       0.0000000,       0.0000000,          0,          0,          0,          3,       1.0000000,    1395.7298584,        228,          0,          0,        188,        197,          0,        141,          0,          0,        138,    1850.0000000,       1.0000000,       0.0000000,        105,     542.6699829,       0.0000000,       0.0000000,       0.0000000
